nohup: ignoring input
🦥 Unsloth: Will patch your computer to enable 2x faster free finetuning.
🦥 Unsloth Zoo will now patch everything to make training faster!
spec: v2  (2286 chars)
==((====))==  Unsloth 2026.8.19: Fast Qwen3 patching. Transformers: 5.5.0.
   \\   /|    NVIDIA RTX 4000 Ada Generation. Num GPUs = 1. Max memory: 19.558 GB. Platform: Linux.
O^O/ \_/ \    Torch: 2.8.0+cu128. CUDA: 8.9. CUDA Toolkit: 12.8. Triton: 3.4.0
\        /    Bfloat16 = TRUE. FA [Xformers = None. FA2 = False]
 "-____-"     Free license: http://github.com/unslothai/unsloth
Unsloth: Fast downloading is enabled - ignore downloading bars which are red colored!
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/398 [00:00<?, ?it/s]Loading weights:   9%|▊         | 34/398 [00:00<00:01, 290.30it/s]Loading weights:  17%|█▋        | 67/398 [00:00<00:01, 279.80it/s]Loading weights:  30%|██▉       | 118/398 [00:00<00:00, 374.15it/s]Loading weights:  41%|████▏     | 165/398 [00:00<00:00, 409.53it/s]Loading weights:  53%|█████▎    | 211/398 [00:00<00:00, 426.88it/s]Loading weights:  65%|██████▍   | 257/398 [00:00<00:00, 436.60it/s]Loading weights:  77%|███████▋  | 307/398 [00:00<00:00, 456.77it/s]Loading weights:  89%|████████▊ | 353/398 [00:00<00:00, 455.51it/s]Loading weights: 100%|██████████| 398/398 [00:00<00:00, 414.23it/s]
Unsloth 2026.8.19 patched 36 layers with 36 QKV layers, 36 O layers and 36 MLP layers.
loaded 20000 examples
--- loss is computed on ---
{"timestamp": "1900-04-13T15:39:13Z", "level": null, "service": "store.index.SegmentMerger", "trace_id": null, "status_code": null, "latency_ms": null, "message": "failed to acquire advisory lock on shard 36"}<|im_end|>
---------------------------
`use_return_dict` is deprecated! Use `return_dict` instead!
Unsloth: Will smartly offload gradients to save VRAM!
Unsloth: Double buffering enabled (parallel H2D + compute) for backward pass.
step 10/2500  loss 0.3479
step 20/2500  loss 0.2012
step 30/2500  loss 0.0870
step 40/2500  loss 0.0595
step 50/2500  loss 0.0412
step 60/2500  loss 0.0347
step 70/2500  loss 0.0225
step 80/2500  loss 0.0141
step 90/2500  loss 0.0122
step 100/2500  loss 0.0125
step 110/2500  loss 0.0130
step 120/2500  loss 0.0141
step 130/2500  loss 0.0101
step 140/2500  loss 0.0101
step 150/2500  loss 0.0136
step 160/2500  loss 0.0106
step 170/2500  loss 0.0122
step 180/2500  loss 0.0128
step 190/2500  loss 0.0096
step 200/2500  loss 0.0091
step 210/2500  loss 0.0085
step 220/2500  loss 0.0055
step 230/2500  loss 0.0077
step 240/2500  loss 0.0074
step 250/2500  loss 0.0105
step 260/2500  loss 0.0132
step 270/2500  loss 0.0093
step 280/2500  loss 0.0112
step 290/2500  loss 0.0084
step 300/2500  loss 0.0077
step 310/2500  loss 0.0103
step 320/2500  loss 0.0103
step 330/2500  loss 0.0086
step 340/2500  loss 0.0127
step 350/2500  loss 0.0110
step 360/2500  loss 0.0096
step 370/2500  loss 0.0061
step 380/2500  loss 0.0117
step 390/2500  loss 0.0115
step 400/2500  loss 0.0107
step 410/2500  loss 0.0109
step 420/2500  loss 0.0136
step 430/2500  loss 0.0139
step 440/2500  loss 0.0107
step 450/2500  loss 0.0089
step 460/2500  loss 0.0112
step 470/2500  loss 0.0134
step 480/2500  loss 0.0051
step 490/2500  loss 0.0114
step 500/2500  loss 0.0058
step 510/2500  loss 0.0088
step 520/2500  loss 0.0099
step 530/2500  loss 0.0102
step 540/2500  loss 0.0046
step 550/2500  loss 0.0070
step 560/2500  loss 0.0086
step 570/2500  loss 0.0079
step 580/2500  loss 0.0074
